





"Voice.Blood.1_1"   "Смех"
"Voice.Blood.1_2"   "Было твое - стало мое." 
"Voice.Blood.2_1"   "Что, нравится вкус крови?" 
"Voice.Blood.2_2"   "Почему не бежишь?" 
"Voice.Blood.3_1"   "Даже я, слепец, вижу как это прекрасно!" 
"Voice.Blood.3_2"   "Приляг… будешь печенье?" 
"Voice.Blood.4_1"   "Не надо расстраиваться.. Будь позитивнее!" 
"Voice.Blood.5_1"   "Может хватит уже пряток?" 
"Voice.Blood.6_1"   "Эх, в этом даже крови не было." 


"Blood.Quest_1" "Займите 1 место, используя основной легендарный талант Bloodrage"
"Blood.Quest_2" "Займите 1 место, используя основной легендарный талант Blood Rite"
"Blood.Quest_3" "Займите 1 место, используя основной легендарный талант Thirst"
"Blood.Quest_4" "Займите 1 место, используя основной легендарный талант Rupture"


"Blood.Quest_5" "Совершите атаки по героям, имея меньше 50% здоровья"
"Blood.Quest_6" "Обезмолвите героев с помощью Blood Rite"
"Blood.Quest_7" "Убейте разных героев хотя бы 1 раз"
"Blood.Quest_8" "Нанесите героям чистый урон с помощью Rupture"




"DOTA_Tooltip_ability_bloodseeker_bloodrage_custom"                                 "Bloodrage"
"DOTA_Tooltip_ability_bloodseeker_bloodrage_custom_Description"                     "Пробуждает в существе жажду крови, из-за которой оно атакует быстрее и наносит больше урона заклинаниями, но каждую секунду теряет долю от своего здоровья. Даёт союзным героям половину от скорости атаки."
"DOTA_Tooltip_ability_bloodseeker_bloodrage_custom_Lore"                                "Стригвир делится с другими своей животной жаждой кровопролития."
"DOTA_Tooltip_ability_bloodseeker_bloodrage_custom_duration"                            "ДЛИТЕЛЬНОСТЬ:"
"DOTA_Tooltip_ability_bloodseeker_bloodrage_custom_attack_speed"                        "ДОП. СКОРОСТЬ АТАКИ:"
"DOTA_Tooltip_ability_bloodseeker_bloodrage_custom_spell_amp"                           "%ДОП. УРОН ОТ ЗАКЛИНАНИЙ:"
"DOTA_Tooltip_ability_bloodseeker_bloodrage_custom_damage_pct"                          "%ПОТЕРЯ МАКС. ЗДОРОВЬЯ В СЕКУНДУ:"
"DOTA_Tooltip_ability_bloodseeker_bloodrage_custom_shard_description"                   "Каждая атака под действием этой способности лечит героя на %shard_damage% здоровья и наносит жертве столько же чистого урона"

